Recorded Date,"Q11 - How will having access to new bridges connecting Toowong, West End and St L...",Q12 - What concerns do you have about the development of new bridges connecting T...,"Q1 - How much contact have you had with council in a formal consultation, to dis...","Q2 - How much contact have you had with council in an informal setting, to discu...",Q4 - My interactions with council to discuss previous planning and developments...,Q5 - My interactions with council to discuss previous planning and developments...
Q1,A bridge will allow me to use the car less and ride a bike more. ,I'm worried the construction may take a long time to finish. ,None at all,A little,Neither agree nor disagree,Somewhat disagree
Q1,I work from home and won't need to use the bridges,There's a number of ferry services that use this part of the river. Construction might be bad.,A little,A little,Strongly disagree,Strongly agree
Q1,I won't use them. I live and work in West End.,There's lots of noise from construction.,A great deal,A moderate amount,Strongly agree,Somewhat disagree
Q1,I will now be able to walk to work.,The environmental damage may be a consideration,A lot,A lot,Strongly disagree,Somewhat agree
Q1,I will use these bridges to ride a lot. ,I'm worried about crime and if they will be dangerous at night.,A moderate amount,None at all,Neither agree nor disagree,Somewhat agree
Q1,I won't need them as I am too old to ride.,I'm sad that the environment will be damaged. ,A little,A little,Somewhat agree,Strongly agree
Q1,I like the idea of riding on the green bridge and I think I might use them.,I think it may be ugly and ruin parts of the city.,A great deal,A moderate amount,Somewhat disagree,Neither agree nor disagree
Q1,"I need to buy a bike, but I will use them.",I'm sad that the environment will be damaged. ,A moderate amount,A little,Strongly agree,Somewhat disagree
Q1,I won't use them. They will ruin the neighbourhood.,I think the view might change which will be bad.,A little,A great deal,Neither agree nor disagree,Strongly agree
Q1,"I ride my bike around the city, so this will be good.",Some of the designs are bad for the bridges in Brisbane. This might be same. ,A great deal,A moderate amount,Somewhat agree,Somewhat agree
Q1,I go to the university so I will ride my bike. ,I think the bridges may encourage bad behaviour from uni students.,None at all,None at all,Strongly disagree,Somewhat agree
Q1,I'm not sure. I might use it if I need to go to Toowong.,I don't know if the congestion will be fixed by the bridge.,A little,A moderate amount,Somewhat disagree,Strongly agree
Q2,I'll definitely use this as I can stop using a car. ,I think the existing bike infrastructure may not be suitable,A little,A lot,Strongly disagree,Strongly disagree
Q2,The traffic is very bad and this will allow me to walk more. It's great. ,The bike lines we have are already fine.,A little,A lot,Neither agree nor disagree,Strongly agree
Q2,I don't like the traffic so I will use them. ,I think people in Brisbane still need to drive. This will help the traffic a little. ,A little,A great deal,Somewhat disagree,Somewhat agree
Q2,This will improve my commute by 25 percent,The bike lanes are a good idea,A great deal,A little,Neither agree nor disagree,Strongly agree
Q2,"I'm looking for new ways to exercise, this will help me do it.",I think the city has too many bridges already.,A great deal,A lot,Somewhat agree,Strongly disagree
Q2,I think I can avoid the traffic so this wil help me.,I think this may be dangerous in the event of a flood. ,A lot,None at all,Somewhat agree,Strongly agree
Q2,Coronation drive is very busy so I will use this. ,I think the construction may be dangerous.,A little,A moderate amount,Strongly agree,Strongly disagree
Q2,I will use this occasionally. ,This will ruin some of the greenspaces we already have. ,A lot,A little,Strongly disagree,Somewhat agree
Q2,I will try to use this when I can.,I think the city is better without it. ,A moderate amount,A moderate amount,Neither agree nor disagree,Strongly disagree
Q2,I will use this every day. ,This bridge should have been built 10 years ago.,None at all,A great deal,Strongly agree,Somewhat disagree
Q2,I want to enjoy this so I will ride.,It will be an eye-sore,A lot,A little,Somewhat disagree,Somewhat disagree
Q2,I look forward to riding bikes with my grandchildren,I don't think it will be necessary,A great deal,A lot,Strongly agree,Strongly disagree
Q2,I will see if I get busy. ,I think Green Bridges are expensive wastes of money,A little,A lot,Strongly disagree,Strongly disagree
Q2,I don't think I will. I don't need to travel to these suburbs.,The Go-Between bridge is perfectly fine.,None at all,A moderate amount,Neither agree nor disagree,Neither agree nor disagree
Q2,I will use this if I need to.,I don't like new constructions in the bridge. It's not right.,None at all,A little,Somewhat disagree,Strongly agree
Q2,"I work in Toowong, so I will go. ",I wish they spent the money on different infrastructure,A little,A great deal,Somewhat agree,Strongly disagree
Q2,I have used other green bridges in Brisbane. I will use this one as well. ,The bridges are a good idea but I'm worried about council rates going up.,None at all,A little,Strongly agree,Strongly disagree
Q2,I don't believe it will be useful for me. ,"If they do this, they should make it cheaper to use public transport.",None at all,A great deal,Strongly agree,Strongly agree
Q2,I won't use it but my friends will. It will be good for congestion.,Bridges are a good idea but I'm worried about the environment.,None at all,A great deal,Somewhat agree,Strongly agree
Q2,I'm too old to ride a bike but I will definitely use it to walk to work.,The local wildlife may be disrupted,A great deal,A little,Somewhat disagree,Strongly disagree
Q2,I don't think I will use it. ,How will ferries pass by?,A great deal,A moderate amount,Strongly disagree,Strongly disagree
Q2,I need to drive for work so not for me. Maybe on the weekend.,What kind of disruptions will there be to the ferry services is my concern,A lot,A moderate amount,Strongly agree,Strongly disagree
Q2,I like bike riding as a hobby. So I will use this daily. ,Can't they just build more ferry services?,A lot,A little,Neither agree nor disagree,Somewhat agree
Q2,I haven't used a green bridge before but I will try it. ,Will there be any permanent damage to the local waterways,None at all,A great deal,Neither agree nor disagree,Strongly disagree
Q2,"Will it be free? If it's free, I will walk on it instead of using the go-between bridge. ",What kind of pollution does the construction cause? ,A lot,None at all,Somewhat disagree,Somewhat agree
Q2,"I drive a truck for work, so I don't see myself using it.",I fear the area may have lots of noise pollution,None at all,A little,Strongly disagree,Neither agree nor disagree
Q2,I would sell my car and use a bike and walk if this bridge is built.,I think noise is bad. The area is already noisy.,A lot,A moderate amount,Somewhat agree,Somewhat agree
Q3,I can't wait to use it. I will save a lot of time. ,Noise is a big concern for me.,A little,None at all,Somewhat disagree,Neither agree nor disagree
Q3,I will bike ride more,The noise from the construction,A moderate amount,A little,Somewhat disagree,Strongly disagree
Q3,I will drive less,I’m worried it might attract crime,None at all,A lot,Somewhat disagree,Strongly disagree
Q3,I won't use it.,Maybe crime,None at all,A great deal,Strongly agree,Neither agree nor disagree
Q3,I won't use it.,The design might be ugly,None at all,A moderate amount,Somewhat disagree,Strongly agree
Q3,Will it have wheelchair access,Maybe the new design might be ugly,A little,A little,Somewhat agree,Somewhat agree
Q3,I need to walk so this is great,The noise,A moderate amount,A lot,Neither agree nor disagree,Somewhat agree
Q3,I hope I can use it,Noise ,A little,A great deal,Strongly agree,Somewhat disagree
Q3,I will ride my bike,Noise,None at all,A moderate amount,Strongly agree,Somewhat agree
Q3,I will walk more,I think noise could be an issue,None at all,A great deal,Somewhat disagree,Strongly agree
Q3,I will ride a bike there,The noise is a concern,A little,A lot,Neither agree nor disagree,Strongly disagree
Q3,Walking more is a good idea,The design,None at all,A little,Neither agree nor disagree,Somewhat agree
Q3,I will walk on this bridge,Pollution,None at all,A moderate amount,Strongly agree,Strongly agree
Q3,I run so this will be great,Can it fit many people.,A lot,A great deal,Somewhat disagree,Strongly disagree
Q3,"I think the views will be great, so I will walk on this",It might be busy,None at all,A lot,Strongly agree,Somewhat agree
Q3,I like walking so I will use this.,The noise,A great deal,A moderate amount,Strongly agree,Somewhat agree
Q3,I drive but now I will use this.,The pollution from the construction,A great deal,None at all,Strongly agree,Strongly agree
Q3,"Hopefully it’s not busy, I will use it if it’s quiet.",The noise,A little,None at all,Neither agree nor disagree,Somewhat agree
Q3,I can't wait to ride my bike on it,The pollution,A moderate amount,A great deal,Somewhat disagree,Somewhat agree
Q3,I am excited to take photos on it,The noise I think,A lot,A lot,Somewhat disagree,Neither agree nor disagree
Q3,I am looking forward to using it to ride.,Crime,None at all,A little,Somewhat disagree,Somewhat agree
